title,reviews_link
BlacKkKlansman,https://www.imdb.com/title/tt7349662/reviews?ref_=tt_urv
Upgrade,https://www.imdb.com/title/tt6499752/reviews?ref_=tt_urv
Mile 22,https://www.imdb.com/title/tt4560436/reviews?ref_=tt_urv
Slender Man,https://www.imdb.com/title/tt5690360/reviews?ref_=tt_urv
The House with a Clock in Its Walls,https://www.imdb.com/title/tt2119543/reviews?ref_=tt_urv
Smallfoot,https://www.imdb.com/title/tt6182908/reviews?ref_=tt_urv
The Girl in the Spider's Web,https://www.imdb.com/title/tt5177088/reviews?ref_=tt_urv
Night School,https://www.imdb.com/title/tt6781982/reviews?ref_=tt_urv
The Darkest Minds,https://www.imdb.com/title/tt4073790/reviews?ref_=tt_urv
Arizona,https://www.imdb.com/title/tt2140629/reviews?ref_=tt_urv
A Star Is Born,https://www.imdb.com/title/tt1517451/reviews?ref_=tt_urv
Mowgli: Legend of the Jungle,https://www.imdb.com/title/tt2388771/reviews?ref_=tt_urv
Final Score,https://www.imdb.com/title/tt5254610/reviews?ref_=tt_urv
Blindspotting,https://www.imdb.com/title/tt7242142/reviews?ref_=tt_urv
A Simple Favor,https://www.imdb.com/title/tt7040874/reviews?ref_=tt_urv
The Christmas Chronicles,https://www.imdb.com/title/tt2990140/reviews?ref_=tt_urv
Bird Box,https://www.imdb.com/title/tt2737304/reviews?ref_=tt_urv
Summer '03,https://www.imdb.com/title/tt7284204/reviews?ref_=tt_urv
Gosnell: The Trial of America's Biggest Serial Killer,https://www.imdb.com/title/tt3722234/reviews?ref_=tt_urv
